video_path,action,hip_knee_angle,shoulder_hip_angle,shoulder_angle,elbow_angle,avg_hip_angle,avg_shoulder_angle,avg_knee_angle,score
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110421.mp4,Jump,112.8441857,89.12720487,67.26243586,147.1404293,112.8441857,89.12720487,67.26243586,3
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110436.mp4,Jump,111.1229184,89.27668741,70.31670722,156.811332,110.4653863,88.74842299,69.90063203,4
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110453.mp4,Jump,116.5919399,96.18139858,78.60551151,148.4340966,115.2039406,95.03638193,77.66973161,3
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110510.mp4,Jump,118.2587407,87.13139423,68.82190222,153.6000304,117.2649697,86.39919764,68.24356691,4
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110544.mp4,Jump,122.7939759,92.40094568,76.61244658,149.6775429,122.092296,91.87294028,76.17466117,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224110834.mp4,Squat,116.1581301,95.33118261,80.01519403,148.9691842,116.1581301,95.33118261,80.01519403,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224110908.mp4,None,126.336711,117.9098897,84.04849435,139.3245163,126.336711,117.9098897,84.04849435,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224110925.mp4,None,98.53063437,130.0718108,107.2917822,152.6604194,98.0330049,129.4148825,106.7499045,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224110952.mp4,None,83.07670594,137.0174901,111.9423728,129.1312051,83.07670594,137.0174901,111.9423728,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224111014.mp4,None,139.9575324,108.4961031,95.88950482,156.8495033,139.1390673,107.861623,95.32874748,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224111035.mp4,None,132.4679116,106.2418484,93.33867757,146.1657228,131.7237099,105.644984,92.81430298,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224111053.mp4,Squat,105.2184818,108.6259788,89.0908251,154.0749032,104.6067465,107.9944324,88.57285519,2
E:\course_work\Dissertation\pose_estim\back_008_m01_20230224111109.mp4,Squat,108.4500169,117.2623213,95.80772288,150.062547,107.745796,116.5008776,95.18559481,2
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111206.mp4,Jump,105.7707708,89.0241665,74.02529847,163.2067227,105.2419169,88.57904567,73.65517198,4
E:\course_work\Dissertation\pose_estim\back_008_m02_20230224111223.mp4,Jump,112.5384477,87.85794004,69.66785369,155.4412509,111.9234835,87.37784201,69.28715504,3
